분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
F 오존층파괴물질의 대체물질 사용_3 소화기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 오존층파괴물질의 대체물질 사용_4 에어로졸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 오존층파괴물질의 대체물질 사용_5 용매,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 오존층파괴물질의 대체물질 사용_6 기타 오존층파괴물질의 대체물질 사용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G 기타 제품제조 및 소비,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G 기타 제품제조 및 소비_1 중전기기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G 기타 제품제조 및 소비_2 기타 제품사용의 육불화황 및 과불화탄소,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G 기타 제품제조 및 소비_3 제품사용의 N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H 기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H 기타_1 펄프 및 종이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H 기타_2 식품 및 음료,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H 기타_3 기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
농업,435.03187,294.58307,341.91743,348.69093,330.3914,320.921,318.1317,307.5832,323.0161,312.504,288.27567,240.73467,230.40267,223.41587,245.192,165.57697,130.43577,193.67483,157.20203,134.05813,124.2641,139.72853,140.2819,132.92063,130.92033,122.1324,121.57577,114.3415,120.1604,112.83897,107.79931,112.465,94.14973
A 장내발효,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 장내발효_1 소,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 장내발효_2 양(면양),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 장내발효_3 돼지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 장내발효_4 기타 가축,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 가축분뇨처리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 가축분뇨처리_1 소,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 가축분뇨처리_2 양(면양),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 가축분뇨처리_3 돼지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 가축분뇨처리_4 기타 가축,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 가축분뇨처리_5 간접 N2O 배출량,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 벼재배,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 벼재배_1 관개,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 벼재배_2 천수답,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D 농경지토양,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D 농경지토양_1 직접배출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D 농경지토양_2 간접배출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D 농경지토양_2 간접배출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E 사바나 소각,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 작물잔사소각_1 곡물,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 작물잔사소각_2 두류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 작물잔사소각_3 서류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 작물잔사소각_4 사탕수수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 작물잔사소각_5 기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G 석회 시용,2.5434,2.3864,2.1509,2.826,2.983,2.669,2.6847,3.1714,3.6267,3.4854,3.4226,4.0506,4.9298,4.4902,4.0192,4.3837,3.9871,3.4533,3.0649,3.4522,2.6657,4.2694,3.8709,3.4257,3.8014,3.493,3.5113,3.5517,3.1248,2.2149,2.79404,2.465,2.48306
H 요소 시용,432.48847,292.19667,339.76653,345.86493,327.4084,318.252,315.447,304.4118,319.3894,309.0186,284.85307,236.68407,225.47287,218.92567,241.1728,161.19327,126.44867,190.22153,154.13713,130.60593,121.5984,135.45913,136.411,129.49493,127.11893,118.6394,118.06447,110.7898,117.0356,110.62407,105.00527,110,91.66667
LULUCF,-39384.64981,-35400.58427,-34561.65346,-32975.70307,-35335.72892,-33580.3008,-37020.35174,-42021.44369,-50408.60828,-58601.03256,-60858.74524,-61094.78226,-58774.60679,-58458.91917,-59811.58676,-57844.83865,-59042.63011,-59754.59846,-60699.01808,-60472.39799,-57749.43972,-56942.69034,-50939.72864,-46642.25231,-47531.10398,-48200.285,-48627.37018,-43257.02888,-41964.15137,-39090.87367,-39282.12951,-39417.65673,-38437.24469
A 산림지,-38226.32886,-34163.24819,-33540.81115,-31968.59132,-34375.70467,-33102.60995,-36825.75955,-41925.02732,-50590.83143,-58347.23217,-60590.33151,-60918.49428,-58657.08269,-58358.19048,-59594.86748,-57612.52099,-59187.41616,-60257.75312,-61485.51771,-61241.79058,-58836.95169,-57732.37337,-51553.42245,-47014.09592,-47856.78887,-48486.43456,-48728.60852,-43702.33664,-42633.11914,-39974.74738,-40244.15708,-40385.36478,-39539.92668
A 산림지_1 산림지로 유지된 산림지,-38226.32886,-34163.24819,-33540.81115,-31968.59132,-34375.70467,-33102.60995,-36825.75955,-41925.02732,-50590.83143,-58347.23217,-60590.33151,-60918.49428,-58657.08269,-58358.19048,-59594.86748,-57612.52099,-59187.41616,-60257.75312,-61485.51771,-61241.79058,-58836.95169,-57732.37337,-51553.42245,-47014.09592,-47856.78887,-48486.43456,-48728.60852,-43702.33664,-42633.11914,-39974.74738,-40244.15708,-40385.36478,-39539.92668
A 산림지_2 타토지에서 전용된 산림지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 농경지,-29.89269,123.44889,338.93997,514.23971,779.05947,1278.96485,1700.19888,1841.71078,1870.25548,1852.34431,1843.0242,1910.84559,1943.14801,2037.88085,2095.26514,2165.20435,2379.32367,2569.50718,2754.61686,2900.12285,2971.71087,3031.47706,2703.68384,2712.58186,2768.42464,2486.78281,2370.96448,2448.60634,2570.47695,2635.53971,2684.21029,2873.77218,2859.49084
B 농경지_1 농경지로 유지된 농경지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 농경지_2 타토지에서 전용된 농경지,-29.89269,123.44889,338.93997,514.23971,779.05947,1278.96485,1700.19888,1841.71078,1870.25548,1852.34431,1843.0242,1910.84559,1943.14801,2037.88085,2095.26514,2165.20435,2379.32367,2569.50718,2754.61686,2900.12285,2971.71087,3031.47706,2703.68384,2712.58186,2768.42464,2486.78281,2370.96448,2448.60634,2570.47695,2635.53971,2684.21029,2873.77218,2859.49084
C 초지,-670.40914,-712.20577,-686.06013,-679.09371,-678.03291,-693.11836,-711.16831,-728.40541,-734.28821,-734.55228,-741.89286,-722.83138,-688.75467,-670.24527,-622.21748,-531.51806,-377.14599,-298.26056,-252.10181,-231.14431,-211.74942,-161.47853,-174.71954,-167.52459,-150.55345,-120.80478,-88.8949,-55.85955,-36.36492,-23.92735,-16.02014,-6.90147,1.24155
C 초지_1 초지로 유지된 초지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 초지_2 타토지에서 전용된 초지,-670.40914,-712.20577,-686.06013,-679.09371,-678.03291,-693.11836,-711.16831,-728.40541,-734.28821,-734.55228,-741.89286,-722.83138,-688.75467,-670.24527,-622.21748,-531.51806,-377.14599,-298.26056,-252.10181,-231.14431,-211.74942,-161.47853,-174.71954,-167.52459,-150.55345,-120.80478,-88.8949,-55.85955,-36.36492,-23.92735,-16.02014,-6.90147,1.24155
D 습지,65.24265,58.20235,63.62294,63.48813,63.5934,76.7679,71.18449,74.82835,75.09849,69.22306,71.00713,70.5657,72.09967,65.59863,56.4565,29.4416,21.63942,25.08342,35.64592,35.87248,29.19315,30.06329,24.79189,30.60673,32.25887,41.46047,44.32503,27.66948,15.18634,10.23755,8.74729,4.69385,0.13127
D 습지_1 습지로 유지된 습지,-21.0589,-20.7869,-19.1629,-18.7229,-19.2479,-19.2289,-20.2199,-18.6619,-19.4579,-21.0729,-20.8289,-22.2839,-21.6819,-23.0289,-22.8259,-24.4819,-25.2159,-24.7039,-24.4329,-25.1289,-27.6369,-27.9669,-27.4249,-21.3059,-21.8319,-20.7359,-20.8489,-23.0567,-20.4151,-21.4705,-21.8238,-22.2427,-23.7166
D 습지_1 습지로 유지된 습지_내륙습지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D 습지_1 습지로 유지된 습지_연안습지,-21.0589,-20.7869,-19.1629,-18.7229,-19.2479,-19.2289,-20.2199,-18.6619,-19.4579,-21.0729,-20.8289,-22.2839,-21.6819,-23.0289,-22.8259,-24.4819,-25.2159,-24.7039,-24.4329,-25.1289,-27.6369,-27.9669,-27.4249,-21.3059,-21.8319,-20.7359,-20.8489,-23.0567,-20.4151,-21.4705,-21.8238,-22.2427,-23.7166
D 습지_2 타토지에서 전용된 습지,86.30155,78.98925,82.78584,82.21103,82.8413,95.9968,91.40439,93.49025,94.55639,90.29596,91.83603,92.8496,93.78157,88.62753,79.2824,53.9235,46.85532,49.78732,60.07882,61.00138,56.83005,58.03019,52.21679,51.91263,54.09077,62.19637,65.17393,50.72618,35.60144,31.70805,30.57109,26.93655,23.84787
D 습지_2 타토지에서 전용된 습지_내륙습지,86.30155,78.98925,82.78584,82.21103,82.8413,95.9968,91.40439,93.49025,94.55639,90.29596,91.83603,92.8496,93.78157,88.62753,79.2824,53.9235,46.85532,49.78732,60.07882,61.00138,56.83005,58.03019,52.21679,51.91263,54.09077,62.19637,65.17393,50.72618,35.60144,31.70805,30.57109,26.93655,23.84787
E 정주지,-729.0103,-750.13667,-770.94687,-791.44089,-811.61874,-831.48042,-851.02593,-870.25527,-889.16843,-907.76542,-926.04624,-944.01089,-915.35077,-936.74208,-957.76716,-978.42603,-998.71867,-1018.64509,-1038.20529,-1057.39927,-1076.22703,-1094.68857,-1112.78388,-1130.51297,-1147.87585,-1164.8725,-1181.50293,-1197.76713,-1213.66512,-1229.19689,-1224.69836,-1220.17795,-1215.63564
E 정주지_1 정주지로 유지된 정주지,-729.0103,-750.13667,-770.94687,-791.44089,-811.61874,-831.48042,-851.02593,-870.25527,-889.16843,-907.76542,-926.04624,-944.01089,-915.35077,-936.74208,-957.76716,-978.42603,-998.71867,-1018.64509,-1038.20529,-1057.39927,-1076.22703,-1094.68857,-1112.78388,-1130.51297,-1147.87585,-1164.8725,-1181.50293,-1197.76713,-1213.66512,-1229.19689,-1224.69836,-1220.17795,-1215.63564
E 정주지_2 타토지에서 전용된 기타토지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 기타토지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 기타토지_1 기타토지로 유지된 기타토지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 기타토지_2 타토지에서 전용된 기타토지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G 수확된 목재제품,205.74853,43.35511,33.60176,-114.30499,-313.02546,-308.82482,-403.78132,-414.29482,-139.67418,-533.05007,-514.50596,-490.857,-528.66634,-597.22082,-788.45627,-917.01952,-880.31236,-774.53029,-713.45606,-878.05916,-625.41561,-1015.69022,-827.2785,-1073.30742,-1176.56932,-956.41645,-1043.65334,-777.34138,-666.66548,-508.77932,-490.21151,-683.67855,-542.54604
H 기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
폐기물,530.00621,705.27799,828.75952,1022.29049,1476.73086,2113.7906,1508.66544,1904.74234,1797.16049,3118.79512,4160.38935,4858.62586,4284.72192,4444.33636,4398.8924,4683.18151,4985.72821,4228.17894,3940.21014,3979.46794,3817.67447,4523.55892,5092.92574,5141.64291,4710.54539,4998.18441,5033.85353,5254.03683,4848.63777,4745.74617,4456.7238,4472.8029,4263.30825
A 폐기물매립,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 폐기물매립_1 관리형 매립,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 폐기물매립_2 비관리형 매립,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 폐기물매립_3 기타 매립,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 고형폐기물의 생물학적 처리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 고형폐기물의 생물학적 처리_1 퇴비화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 고형폐기물의 생물학적 처리_2 바이오가스시설에서의 혐기성 소화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 폐기물소각 및 노천소각,530.00621,705.27799,828.75952,1022.29049,1476.73086,2113.7906,1508.66544,1904.74234,1797.16049,3118.79512,4160.38935,4858.62586,4284.72192,4444.33636,4398.8924,4683.18151,4985.72821,4228.17894,3940.21014,3979.46794,3817.67447,4523.55892,5092.92574,5141.64291,4710.54539,4998.18441,5033.85353,5254.03683,4848.63777,4745.74617,4456.7238,4472.8029,4263.30825
C 폐기물소각 및 노천소각_1 폐기물소각,530.00621,705.27799,828.75952,1022.29049,1476.73086,2113.7906,1508.66544,1904.74234,1797.16049,3118.79512,4160.38935,4858.62586,4284.72192,4444.33636,4398.8924,4683.18151,4985.72821,4228.17894,3940.21014,3979.46794,3817.67447,4523.55892,5092.92574,5141.64291,4710.54539,4998.18441,5033.85353,5254.03683,4848.63777,4745.74617,4456.7238,4472.8029,4263.30825
C 폐기물소각 및 노천소각_2 노천소각,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D 하폐수처리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D 하폐수처리_1 폐수처리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D 하폐수처리_2 하수처리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D 하폐수처리_3 기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E 기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
별도항목(Memo Item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제벙커링 및 다국적 작전,14002.49,17002.26,21104.35,22361.85,25777.61,29700.13,35396.83,38847.39,38433.5,41578.21,39411.63,38514.93,38594.81,41273.1,43081.76,43540.04,41591.34,42177.34,39673.53,36420.53,38970.31,38689.05,37920.03,37939.78,38493.12,41597.09,46720.11,47638.65,46742.04,42652.5,42274.51,42112.89,42112.89
국제벙커링 및 다국적 작전_벙커링,14002.49,17002.26,21104.35,22361.85,25777.61,29700.13,35396.83,38847.39,38433.5,41578.21,39411.63,38514.93,38594.81,41273.1,43081.76,43540.04,41591.34,42177.34,39673.53,36420.53,38970.31,38689.05,37920.03,37939.78,38493.12,41597.09,46720.11,47638.65,46742.04,42652.5,42274.51,42112.89,42112.89
C 국제벙커링 및 다국적 작전_1 벙커링_a 국제 항공,6248.11,4262.55,5099.75,5630.95,6323.61,7152.82,7817,8513.2,7045.01,7289.84,7694.64,8063.42,9107.81,9572.16,10201.2,10616.47,8608.71,12127.86,11064.8,10539.23,11733.31,11833.61,11923.9,12589.9,12620.33,12979.23,14499.33,14853.99,15650.32,15948.22,9955.56,7821.71,9857.1
C 국제벙커링 및 다국적 작전_1 벙커링_b 국제 해운,7754.38,12591.72,15821.6,16530.67,19223.42,22284.34,27266.4,29991.35,31037.95,33926.63,31375.26,30118.88,29155.15,31345.98,32510.25,32549.89,32623.57,29674.1,28255.01,25557.41,26891.33,26512.72,25659.82,25014.76,25532.42,28248.5,31805.87,32379.11,30695.55,26344.57,31952.87,33922.35,36611.9
C 국제벙커링 및 다국적 작전_2 다국적 작전,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
