분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A 연료연소_f 비금속광물,13868.22084,16050.92531,17670.00756,19408.86283,21932.17827,22059.25452,19241.78778,21117.81298,15670.32818,16332.57236,18450.19485,18742.42588,18576.95591,19876.97598,18453.75379,17122.21163,17385.12461,17265.24055,18267.68215,16096.54883,16915.40736,17809.31502,16644.64236,17161.23786,17286.15113,16992.33455,16250.85778,14728.47995,13566.06183,14775.67045,13390.34693,13966.36828,14455.62401
A 연료연소_g 기타,14973.11268,16754.69376,15891.23563,16760.77564,18165.29005,18324.87496,20001.9806,20477.79743,19413.56755,22545.56419,26714.02806,26991.74808,28733.17276,28443.0897,27347.09051,27263.96542,27856.59654,26908.9028,27024.8389,26860.40112,29707.06597,33165.21543,30334.36082,29231.91156,26950.21947,28737.84028,30645.2118,31166.29112,28461.62233,25796.68999,24460.69054,25466.58155,24240.59695
A 연료연소_2 제조업 및 건설업_g 기타_1 수송장비제조,754.08737,865.13066,848.9344,961.82436,979.68905,1049.72034,1114.10128,1691.70229,2608.40532,3173.92927,2924.00066,2534.92715,2500.12876,1951.62943,1235.95225,508.36614,408.82014,1966.98968,2079.08484,1784.41845,2069.50295,2618.44552,2798.17192,3018.62833,2437.98528,2322.67393,3635.70848,3425.07072,2436.06495,2203.41519,2176.72833,2241.36376,2227.41487
A 연료연소_2 제조업 및 건설업_g 기타_2 기계 제조,2001.41815,2272.78718,2518.44745,2901.99297,3010.90868,3263.65356,3834.2723,3980.35218,3246.75237,3866.92805,3221.15925,3117.40274,3230.65827,3168.39175,3371.11456,3469.59089,3377.51718,2121.23685,2522.48629,2277.65754,2453.2423,2621.89357,2470.15183,2237.6458,2851.80469,2406.26689,2848.88271,3808.82349,3465.46085,4021.2969,3922.27228,4065.45694,4199.00052
A 연료연소_2 제조업 및 건설업_g 기타_3 광업,436.52931,346.07796,332.77126,249.77024,229.15774,215.73692,194.11571,155.90899,123.10474,113.48283,150.93717,158.50205,163.68548,196.20984,167.09372,190.46486,193.88084,163.97644,145.70803,155.8271,193.39201,182.11012,170.80985,183.85575,146.4006,135.32068,140.64968,123.27606,120.69724,119.39054,134.9301,130.99082,122.49456
A 연료연소_2 제조업 및 건설업_g 기타_4 목재 및 목제품,220.16802,240.58625,236.23914,231.36087,339.79443,269.187,288.32223,287.93918,207.48659,256.30448,256.75597,237.57667,253.07643,217.77739,267.37142,168.76754,149.18048,185.15674,180.0674,224.76027,214.63578,182.05672,162.82458,156.77529,191.86486,186.58838,273.76407,128.14485,157.11408,113.31853,136.41785,125.29862,131.07708
A 연료연소_2 제조업 및 건설업_g 기타_5 건설업,1639.47155,1540.07538,1362.64053,1354.85253,1259.43318,1216.50549,1213.97285,1379.60601,1021.8511,1060.34663,1400.20289,1319.78736,1565.08608,1640.47597,1759.45637,1922.73066,2650.52883,2370.42945,2314.44483,2317.94929,2503.35698,2542.08163,2235.14536,2170.61324,2322.15325,2572.18144,2647.4085,2228.1952,2185.6365,2150.07224,2107.58098,2004.54919,1938.4738
A 연료연소_2 제조업 및 건설업_g 기타_6 섬유 및 가죽,6182.235,6078.83288,6119.04237,6611.86142,6921.77691,6729.42298,7302.19853,7323.49759,7925.70401,8633.08651,10520.12344,10227.68245,10112.93943,8954.60612,9433.57087,8584.54469,7816.52574,7536.87202,7412.89581,6974.24078,6822.02714,6576.5166,5967.51476,5314.48107,5640.82253,4963.61377,4918.42749,5314.41924,4923.80163,4575.52059,4115.14866,4337.33859,4202.45246
A 연료연소_2 제조업 및 건설업_g 기타_7 기타,3739.20328,5411.20346,4473.16049,4449.11323,5424.53005,5580.64867,6054.9977,5658.79118,4280.2634,5441.48643,8240.84867,9395.86965,10907.5983,12313.99921,11112.53132,12419.50063,13260.14333,12564.24162,12370.15169,13125.54768,15450.90881,18442.11127,16529.74251,16149.91208,13359.18826,16151.19518,16180.37086,16138.36157,15172.84709,12613.67601,11867.61233,12561.58363,11419.68366
A 연료연소_3 수송,35610.40604,38718.73185,44095.79905,55748.33545,57750.2425,64934.4188,69016.25442,74428.94614,57685.29138,62709.8428,70064.18461,73209.55635,78196.16148,81001.79097,81153.9871,81965.5049,82646.92075,84855.24386,82424.74692,83035.46024,84480.48642,84190.97309,85528.28722,87422.58188,87687.25301,93053.7054,97452.85554,96922.38746,96364.96104,99278.70888,94446.29348,97062.87735,96095.24065
A 연료연소_3 수송_a 국내항공,816.19615,890.01337,1038.13199,1164.57619,1194.24487,1317.19281,1366.80643,1568.93901,1335.89168,1287.24462,1395.35875,1288.44357,1329.54275,1364.92582,1129.82447,1024.83385,960.42663,930.13083,969.63707,1068.52381,1126.33603,1191.04807,1196.52277,1293.64887,1398.4038,1440.87789,1638.79782,1629.62722,1579.56699,1624.62035,1544.63628,1816.52532,1728.52063
A 연료연소_3 수송_b 도로수송,31003.28005,35565.68477,40658.54183,49012.79809,51588.78462,58724.20559,64345.62655,68934.21488,52747.08824,58137.67758,64632.06441,67662.28032,72609.91853,75220.12438,75937.6202,76998.68887,77908.60946,80299.10592,77807.42945,78561.37936,80130.56969,79801.74559,81259.29351,83835.686,84421.42675,88987.63538,93311.22348,92869.57802,92979.50581,95756.48823,91525.64331,93653.51872,92735.88356
A 연료연소_3 수송_c 철도,882.292,897.64468,912.92246,984.44807,934.29311,944.22791,933.3846,929.55823,915.33897,952.46552,976.0002,985.68429,985.50632,1007.63127,861.714,813.41101,741.21775,663.92121,653.98566,576.44893,559.42435,508.91408,511.19098,451.16992,377.53324,343.89318,300.85084,290.89453,289.52292,275.07109,242.53581,215.73234,180.93051
